iter,sharpe,n_trades,win_rate,rsi_entry,rsi_exit,bb_entry_pct,bb_stop_mult,max_hold_bars,taker_win_min
0,1.4386819836044298,363,40.77134986225895,38,52,0.15,0.3,8,0.005
1,1.1109456511300317,361,39.612188365650965,38,52,0.15,0.3,12,0.005
2,1.07178794124783,361,39.05817174515235,38,52,0.15,0.3,18,0.005
3,1.0979605710930767,361,39.88919667590028,38,52,0.15,0.3,24,0.005
4,1.2216286370487472,407,46.68304668304668,38,52,0.15,0.5,8,0.005
5,0.7610937847630016,401,44.63840399002494,38,52,0.15,0.5,12,0.005
6,0.7333551703725034,401,44.13965087281795,38,52,0.15,0.5,18,0.005
7,0.7499445018722288,401,45.885286783042396,38,52,0.15,0.5,24,0.005
8,1.3206146388026205,419,47.97136038186158,38,52,0.15,0.7,8,0.005
9,0.6814942028578528,414,47.10144927536232,38,52,0.15,0.7,12,0.005
10,0.7380795684073501,414,46.61835748792271,38,52,0.15,0.7,18,0.005
11,0.7694169314247388,414,49.033816425120776,38,52,0.15,0.7,24,0.005
12,1.2166190288371728,417,51.798561151079134,38,52,0.15,1.0,8,0.005
13,0.886573724415305,408,51.9607843137255,38,52,0.15,1.0,12,0.005
14,1.124943998030279,406,53.69458128078818,38,52,0.15,1.0,18,0.005
15,1.149462833908815,406,56.896551724137936,38,52,0.15,1.0,24,0.005
16,1.4443566734641273,365,40.54794520547945,38,52,0.2,0.3,8,0.005
17,1.108036329992777,363,39.39393939393939,38,52,0.2,0.3,12,0.005
18,1.0749497979906417,363,38.84297520661157,38,52,0.2,0.3,18,0.005
19,1.098257785260271,363,39.66942148760331,38,52,0.2,0.3,24,0.005
20,1.2180241212610519,409,46.454767726161364,38,52,0.2,0.5,8,0.005
21,0.7591364111034864,403,44.41687344913151,38,52,0.2,0.5,12,0.005
22,0.736233431551509,403,43.920595533498755,38,52,0.2,0.5,18,0.005
23,0.7459937295246416,403,45.6575682382134,38,52,0.2,0.5,24,0.005
24,1.1509783103117797,424,47.40566037735849,38,52,0.2,0.7,8,0.005
25,0.6822029052582678,416,46.875,38,52,0.2,0.7,12,0.005
26,0.7365413705968671,416,46.394230769230774,38,52,0.2,0.7,18,0.005
27,0.7682878617403074,416,48.79807692307692,38,52,0.2,0.7,24,0.005
28,1.1700725011771393,422,51.18483412322274,38,52,0.2,1.0,8,0.005
29,0.8833117957685223,410,51.707317073170735,38,52,0.2,1.0,12,0.005
30,1.124243577237589,409,53.30073349633252,38,52,0.2,1.0,18,0.005
31,1.1473812485504078,408,56.61764705882353,38,52,0.2,1.0,24,0.005
32,1.4443566734641273,365,40.54794520547945,38,52,0.25,0.3,8,0.005
33,1.108036329992777,363,39.39393939393939,38,52,0.25,0.3,12,0.005
34,1.0749497979906417,363,38.84297520661157,38,52,0.25,0.3,18,0.005
35,1.098257785260271,363,39.66942148760331,38,52,0.25,0.3,24,0.005
36,1.2180241212610519,409,46.454767726161364,38,52,0.25,0.5,8,0.005
37,0.7591364111034864,403,44.41687344913151,38,52,0.25,0.5,12,0.005
38,0.736233431551509,403,43.920595533498755,38,52,0.25,0.5,18,0.005
39,0.7459937295246416,403,45.6575682382134,38,52,0.25,0.5,24,0.005
40,1.1509783103117797,424,47.40566037735849,38,52,0.25,0.7,8,0.005
41,0.6822029052582678,416,46.875,38,52,0.25,0.7,12,0.005
42,0.7365413705968671,416,46.394230769230774,38,52,0.25,0.7,18,0.005
43,0.7682878617403074,416,48.79807692307692,38,52,0.25,0.7,24,0.005
44,1.1700725011771393,422,51.18483412322274,38,52,0.25,1.0,8,0.005
45,0.8833117957685223,410,51.707317073170735,38,52,0.25,1.0,12,0.005
46,1.124243577237589,409,53.30073349633252,38,52,0.25,1.0,18,0.005
47,1.1473812485504078,408,56.61764705882353,38,52,0.25,1.0,24,0.005
48,1.4443566734641273,365,40.54794520547945,38,52,0.3,0.3,8,0.005
49,1.108036329992777,363,39.39393939393939,38,52,0.3,0.3,12,0.005
50,1.0749497979906417,363,38.84297520661157,38,52,0.3,0.3,18,0.005
51,1.098257785260271,363,39.66942148760331,38,52,0.3,0.3,24,0.005
52,1.2180241212610519,409,46.454767726161364,38,52,0.3,0.5,8,0.005
53,0.7591364111034864,403,44.41687344913151,38,52,0.3,0.5,12,0.005
54,0.736233431551509,403,43.920595533498755,38,52,0.3,0.5,18,0.005
55,0.7459937295246416,403,45.6575682382134,38,52,0.3,0.5,24,0.005
56,1.1509783103117797,424,47.40566037735849,38,52,0.3,0.7,8,0.005
57,0.6822029052582678,416,46.875,38,52,0.3,0.7,12,0.005
58,0.7365413705968671,416,46.394230769230774,38,52,0.3,0.7,18,0.005
59,0.7682878617403074,416,48.79807692307692,38,52,0.3,0.7,24,0.005
60,1.1700725011771393,422,51.18483412322274,38,52,0.3,1.0,8,0.005
61,0.8833117957685223,410,51.707317073170735,38,52,0.3,1.0,12,0.005
62,1.124243577237589,409,53.30073349633252,38,52,0.3,1.0,18,0.005
63,1.1473812485504078,408,56.61764705882353,38,52,0.3,1.0,24,0.005
64,1.3379653321130314,363,39.39393939393939,38,56,0.15,0.3,8,0.005
65,1.068416987984612,361,37.396121883656505,38,56,0.15,0.3,12,0.005
66,1.051892736672125,361,36.288088642659275,38,56,0.15,0.3,18,0.005
67,1.0816807995976694,361,37.119113573407205,38,56,0.15,0.3,24,0.005
68,1.094741105358302,407,44.96314496314496,38,56,0.15,0.5,8,0.005
69,0.6816135375166933,401,42.14463840399002,38,56,0.15,0.5,12,0.005
70,0.6107989885607735,401,41.64588528678304,38,56,0.15,0.5,18,0.005
71,0.699053815856628,401,43.391521197007485,38,56,0.15,0.5,24,0.005
72,1.2520542769423328,419,46.53937947494033,38,56,0.15,0.7,8,0.005
73,0.6529625752970133,414,44.927536231884055,38,56,0.15,0.7,12,0.005
74,0.7032571453619825,414,44.44444444444444,38,56,0.15,0.7,18,0.005
75,0.7363985523661177,414,47.10144927536232,38,56,0.15,0.7,24,0.005
76,1.1677663878094593,417,50.35971223021583,38,56,0.15,1.0,8,0.005
77,0.8226345177585319,408,49.754901960784316,38,56,0.15,1.0,12,0.005
78,1.09395792290215,406,51.724137931034484,38,56,0.15,1.0,18,0.005
79,1.1017826023998838,406,55.172413793103445,38,56,0.15,1.0,24,0.005
80,1.326381499388115,365,39.178082191780824,38,56,0.2,0.3,8,0.005
81,1.0663082557131551,363,37.1900826446281,38,56,0.2,0.3,12,0.005
82,1.0482842455886614,363,36.08815426997245,38,56,0.2,0.3,18,0.005
83,1.079386671563433,363,36.91460055096419,38,56,0.2,0.3,24,0.005
84,1.096645473684035,409,44.743276283618584,38,56,0.2,0.5,8,0.005
85,0.6764364223829676,403,41.935483870967744,38,56,0.2,0.5,12,0.005
86,0.6026917690462721,403,41.43920595533499,38,56,0.2,0.5,18,0.005
87,0.6928301334969698,403,43.17617866004963,38,56,0.2,0.5,24,0.005
88,1.1080571817812082,424,45.990566037735846,38,56,0.2,0.7,8,0.005
89,0.6525741316947019,416,44.71153846153847,38,56,0.2,0.7,12,0.005
90,0.704019022348581,416,44.230769230769226,38,56,0.2,0.7,18,0.005
91,0.7255122985621983,416,46.875,38,56,0.2,0.7,24,0.005
92,1.11153593409242,422,49.763033175355446,38,56,0.2,1.0,8,0.005
93,0.8192123355362289,410,49.51219512195122,38,56,0.2,1.0,12,0.005
94,1.0742546383833675,409,51.34474327628362,38,56,0.2,1.0,18,0.005
95,1.0963213587980178,408,54.90196078431373,38,56,0.2,1.0,24,0.005
96,1.326381499388115,365,39.178082191780824,38,56,0.25,0.3,8,0.005
97,1.0663082557131551,363,37.1900826446281,38,56,0.25,0.3,12,0.005
